Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
597,Anil Kumar Gali,ZAHIRABAD,BRS,6,10th Pass,,,6,1,,,10th Pass,Regional
598,Anil Kumar Maddineni,KHAMMAM,IND,0,Post Graduate,"Rs 33,55,000  ~ 33 Lacs+","Rs 52,50,000  ~ 52 Lacs+",0,0,3355000.0,5250000.0,Post Graduate,Independent
599,Anil Kumar Maddineni,VIJAYAWADA,IND,0,Post Graduate,"Rs 33,55,000  ~ 33 Lacs+","Rs 52,60,000  ~ 52 Lacs+",0,0,3355000.0,5260000.0,Post Graduate,Independent
600,Anil Kumar Manget,SHIMLA (SC),BSP,0,Post Graduate,,,0,0,,,Post Graduate,National
601,Anil Kumar Poluboina,NARSARAOPET,YSRCP,1,Graduate Professional,"Rs 11,06,67,086  ~ 11 Crore+","Rs 2,00,75,212  ~ 2 Crore+",1,1,110667086.0,20075212.0,Graduate,Regional
602,Anil Kumar Rawat,FAIZABAD,Rashtriya Janshakti Samaj Party,2,Post Graduate,"Rs 18,36,276  ~ 18 Lacs+","Rs 9,50,000  ~ 9 Lacs+",2,1,1836276.0,950000.0,Post Graduate,Regional
603,Anil Kumar Tiwari,SHRAWASTI,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
604,Anil Mahobia,RAIPUR,Right to Recall Party,0,Not Given,"Rs 2,38,24,002  ~ 2 Crore+",Rs 0  ~,0,0,23824002.0,0.0,Other,Regional
605,Anil Manhar,JANJGIR-CHAMPA (SC),Hamar Raj Party,0,Graduate,"Rs 19,69,900  ~ 19 Lacs+",Rs 0  ~,0,0,1969900.0,0.0,Graduate,Regional
606,Anil Manikrao Mudgalkar,PARBHANI,IND,0,Graduate,,,0,0,,,Graduate,Independent
607,Anil Pitambar Wagh (Sir),RAVER,IND,0,Post Graduate,"Rs 20,37,700  ~ 20 Lacs+","Rs 8,57,311  ~ 8 Lacs+",0,0,2037700.0,857311.0,Post Graduate,Independent
608,Anil Ram,GOPALGANJ (SC),IND,0,8th Pass,"Rs 42,80,000  ~ 42 Lacs+",Rs 0  ~,0,0,4280000.0,0.0,8th Pass,Independent
609,Anil Sen,HYDERABAD,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
610,Anil Singh Dhurvey,SHAHDOL (ST),Gondvana Gantantra Party,0,12th Pass,"Rs 11,20,000  ~ 11 Lacs+",Rs 0  ~,0,0,1120000.0,0.0,12th Pass,Regional
611,Anil Thaware Alias Dr. Anilkumar Nagbuddha,AMRAVATI (SC),IND,2,Others,"Rs 45,90,000  ~ 45 Lacs+","Rs 5,25,000  ~ 5 Lacs+",2,1,4590000.0,525000.0,Other,Independent
612,Anil Tudu,DUMKA (ST),Lokhit Adhikar Party,0,12th Pass,,,0,0,,,12th Pass,Regional
613,Anil Uikey,BETUL (ST),Bharat Adivasi Party,0,Graduate,"Rs 1,40,000  ~ 1 Lacs+","Rs 60,000  ~ 60 Thou+",0,0,140000.0,60000.0,Graduate,Regional
614,Anil Yeshwant Desai,MUMBAI SOUTH - CENTRAL,ShivSena (Uddhav Balasaheb Thackeray),0,Graduate Professional,"Rs 22,94,43,731  ~ 22 Crore+","Rs 2,30,36,212  ~ 2 Crore+",0,0,229443731.0,23036212.0,Graduate,Regional
615,Anilbhai Narendrabhai Chavda,BHAVNAGAR,Swatantrata Abhivyakti Party,0,8th Pass,,,0,0,,,8th Pass,Regional
616,Anilbhai Sharma,VADODARA,Hindrashtra Sangh,0,Post Graduate,"Rs 1,05,77,131  ~ 1 Crore+","Rs 48,10,000  ~ 48 Lacs+",0,0,10577131.0,4810000.0,Post Graduate,Regional
617,Anilesh Mishra (Maharaj),BILASPUR,IND,0,Post Graduate,"Rs 9,25,150  ~ 9 Lacs+",Rs 0  ~,0,0,925150.0,0.0,Post Graduate,Independent
618,Anilkumar Niranjankumar Mundada,SABARKANTHA,Log Party,0,Graduate Professional,,,0,0,,,Graduate,Regional
619,Anilkumar Vasantbhai Vaghela,AHMEDABAD WEST (SC),BSP,0,12th Pass,"Rs 40,42,043  ~ 40 Lacs+","Rs 14,50,000  ~ 14 Lacs+",0,0,4042043.0,1450000.0,12th Pass,National
620,Anilreddy Kadthala,KARIMNAGAR,National Nava Kranthi Party,0,12th Pass,"Rs 4,42,250  ~ 4 Lacs+","Rs 1,30,239  ~ 1 Lacs+",0,0,442250.0,130239.0,12th Pass,Regional
621,Anima Deka Gupta,KAZIRANGA,Voters Party International,0,Graduate,,,0,0,,,Graduate,Regional
622,Anindita Jana (Das),MEDINIPUR,SUCI(C),0,Post Graduate,"Rs 34,07,621  ~ 34 Lacs+","Rs 5,17,334  ~ 5 Lacs+",0,0,3407621.0,517334.0,Post Graduate,Regional
623,Aniruddh Kumar,HAZARIBAGH,CPI,2,Post Graduate,"Rs 1,63,05,948  ~ 1 Crore+","Rs 4,10,332  ~ 4 Lacs+",2,1,16305948.0,410332.0,Post Graduate,National
624,Anis Ahmed Khan (Phool Babu),PILIBHIT,BSP,0,Graduate,,,0,0,,,Graduate,National
625,Anis Arashid Sundake,PUNE,All India Majlis-E-Ittehadul Muslimeen,5,5th Pass,"Rs 47,30,658  ~ 47 Lacs+","Rs 41,83,068  ~ 41 Lacs+",5,1,4730658.0,4183068.0,5th Pass,Regional
626,Anisur Rahaman Sk,DIAMOND HARBOUR,IND,0,8th Pass,"Rs 38,000  ~ 38 Thou+",Rs 0  ~,0,0,38000.0,0.0,8th Pass,Independent
627,Anita Nagarsingh Chouhan,RATLAM (ST),BJP,0,Post Graduate,,,0,0,,,Post Graduate,National
628,Anita Som Parkash,HOSHIARPUR (SC),BJP,0,10th Pass,"Rs 1,74,93,847  ~ 1 Crore+",Rs 0  ~,0,0,17493847.0,0.0,10th Pass,National
629,Anita Subhadarshini,ASKA,BJP,0,Post Graduate,"Rs 2,47,99,399  ~ 2 Crore+","Rs 10,00,000  ~ 10 Lacs+",0,0,24799399.0,1000000.0,Post Graduate,National
630,Anitha Reddy Sheelam,MALKAJGIRI,BSP,1,Post Graduate,,,1,1,,,Post Graduate,National
631,Anjaiah Virigineni,NALGONDA,BSP,1,10th Pass,"Rs 33,77,11,383  ~ 33 Crore+","Rs 11,01,00,000  ~ 11 Crore+",1,1,337711383.0,110100000.0,10th Pass,National
632,Anjaiah.P,THIRUPATHI (SC),Republican Party of India (A),0,12th Pass,"Rs 1,57,000  ~ 1 Lacs+",Rs 0  ~,0,0,157000.0,0.0,12th Pass,Regional
633,Anjali Monu Rawat,GWALIOR,Parivartan Party of India,0,Post Graduate,,,0,0,,,Post Graduate,Regional
634,Anjali Nimbalkar,UTTARA KANNADA,INC,1,Post Graduate,"Rs 15,78,17,912  ~ 15 Crore+","Rs 91,09,952  ~ 91 Lacs+",1,1,157817912.0,9109952.0,Post Graduate,National
635,Anjan (Babalu) Mandal,MEDINIPUR,BSP,0,Graduate,"Rs 16,23,908  ~ 16 Lacs+","Rs 60,000  ~ 60 Thou+",0,0,1623908.0,60000.0,Graduate,National
636,Anjan Das,BHADRAK (SC),Ambedkarite Party of India,1,10th Pass,,,1,1,,,10th Pass,Regional
637,Anjan Goswami,BARRACKPUR,Bharatiya Nyay-Adhikar Raksha Party,0,12th Pass,"Rs 5,15,000  ~ 5 Lacs+",Rs 0  ~,0,0,515000.0,0.0,12th Pass,Regional
638,Anjana Udailal,CHITTORGARH,INC,0,12th Pass,"Rs 1,18,73,13,315  ~ 118 Crore+","Rs 9,15,97,758  ~ 9 Crore+",0,0,1187313315.0,91597758.0,12th Pass,National
639,Anjaneyulu Neerati,CHEVELLA,IND,1,12th Pass,,,1,1,,,12th Pass,Independent
640,Anjani Ashwin Kelkar,RAIGAD,IND,0,12th Pass,"Rs 22,71,802  ~ 22 Lacs+",Rs 0  ~,0,0,2271802.0,0.0,12th Pass,Independent
641,Anjani Pandey,RANCHI,IND,0,Graduate Professional,"Rs 50,000  ~ 50 Thou+",Rs 0  ~,0,0,50000.0,0.0,Graduate,Independent
642,Anjani Soren,MAYURBHANJ (ST),JMM,0,12th Pass,,,0,0,,,12th Pass,Regional
643,Anjila Jatav,BHARATPUR (SC),BSP,0,Post Graduate,"Rs 1,97,24,662  ~ 1 Crore+","Rs 39,609  ~ 39 Thou+",0,0,19724662.0,39609.0,Post Graduate,National
644,Anjinappa Gari Sreenivasulu,HINDUPUR,Revolutionary Socialist Party,0,5th Pass,"Rs 4,22,700  ~ 4 Lacs+","Rs 1,80,000  ~ 1 Lacs+",0,0,422700.0,180000.0,5th Pass,Regional
645,Anju Sharma,WEST DELHI,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
646,Ankagala Praveen Kumar,CHEVELLA,IND,0,Post Graduate,"Rs 30,72,049  ~ 30 Lacs+","Rs 48,000  ~ 48 Thou+",0,0,3072049.0,48000.0,Post Graduate,Independent
647,Ankit Rai,BHOPAL,IND,0,12th Pass,"Rs 99,16,000  ~ 99 Lacs+",Rs 0  ~,0,0,9916000.0,0.0,12th Pass,Independent
648,Ankit Shah,GORAKHPUR,Bharatiya Yuva Jan Ekta Party,0,Graduate,,,0,0,,,Graduate,Regional
649,Ankur,MUZAFFARNAGAR,IND,0,Graduate,"Rs 1,01,000  ~ 1 Lacs+",Rs 0  ~,0,0,101000.0,0.0,Graduate,Independent
650,Ankur Sharma,JAMMU,Ekam Sanatan Bharat Dal,0,Graduate Professional,"Rs 2,67,36,567  ~ 2 Crore+","Rs 1,00,36,855  ~ 1 Crore+",0,0,26736567.0,10036855.0,Graduate,Regional
651,Ankush Dnyaneshawar Pilane,BARAMATI,IND,0,Graduate Professional,,,0,0,,,Graduate,Independent
652,Anna Kuriakose,PALAKKAD,IND,0,Graduate,"Rs 3,19,494  ~ 3 Lacs+",Rs 0  ~,0,0,319494.0,0.0,Graduate,Independent
653,Anna Sukhadev Maske,SOLAPUR (SC),IND,4,Others,"Rs 31,86,500  ~ 31 Lacs+",Rs 0  ~,4,1,3186500.0,0.0,Other,Independent
654,Annadurai K,KRISHNAGIRI,IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
655,Annadurai N,SALEM,Pattali Makkal Katchi,2,Graduate Professional,"Rs 3,08,73,526  ~ 3 Crore+","Rs 1,36,48,790  ~ 1 Crore+",2,1,30873526.0,13648790.0,Graduate,Regional
656,Annadurai R,COIMBATORE,IND,1,Illiterate,"Rs 3,77,000  ~ 3 Lacs+",Rs 0  ~,1,1,377000.0,0.0,Illiterate,Independent
657,"Annadurai, S. S/O Settu",TIRUVANNAMALAI,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
658,"Annadurai, S. S/O Subramani",TIRUVANNAMALAI,IND,0,10th Pass,"Rs 29,51,000  ~ 29 Lacs+","Rs 1,00,000  ~ 1 Lacs+",0,0,2951000.0,100000.0,10th Pass,Independent
659,Annamalai K,COIMBATORE,BJP,26,Post Graduate,"Rs 4,07,26,627  ~ 4 Crore+",Rs 0  ~,26,1,40726627.0,0.0,Post Graduate,National
660,Annasaheb Shankar Jolle,CHIKKODI,BJP,0,12th Pass,,,0,0,,,12th Pass,National
661,Annela Laxman,MEDAK,Dharma Samaj Party,0,Graduate,"Rs 67,60,827  ~ 67 Lacs+","Rs 14,30,000  ~ 14 Lacs+",0,0,6760827.0,1430000.0,Graduate,Regional
662,Annie Raja,WAYANAD,CPI,1,Graduate,"Rs 1,61,12,844  ~ 1 Crore+",Rs 0  ~,1,1,16112844.0,0.0,Graduate,National
663,Annoji Rao. G,KOPPAL,Sarva Janata Party,0,12th Pass,,,0,0,,,12th Pass,Regional
664,Annpurna Devi,KODARMA,BJP,2,Post Graduate,"Rs 12,82,82,857  ~ 12 Crore+","Rs 78,85,853  ~ 78 Lacs+",2,1,128282857.0,7885853.0,Post Graduate,National
665,Annu Tandon,UNNAO,SP,1,Graduate,"Rs 79,89,04,449  ~ 79 Crore+","Rs 12,44,50,048  ~ 12 Crore+",1,1,798904449.0,124450048.0,Graduate,Regional
666,Anokh Singh Katwal,KHADOOR SAHIB,IND,0,Not Given,,,0,0,,,Other,Independent
667,Anoop Kumar Pandey,DURG,IND,1,8th Pass,"Rs 12,70,000  ~ 12 Lacs+",Rs 0  ~,1,1,1270000.0,0.0,8th Pass,Independent
668,Anoop Nagar,MORENA,IND,0,Literate,"Rs 56,58,000  ~ 56 Lacs+",Rs 0  ~,0,0,5658000.0,0.0,Below 5th,Independent
669,Anoop Pradhan Balmiki,HATHRAS (SC),BJP,1,12th Pass,,,1,1,,,12th Pass,National
670,Anoop Singh,SONIPAT,Indian National Lok Dal,0,Graduate,"Rs 8,17,66,810  ~ 8 Crore+","Rs 9,99,172  ~ 9 Lacs+",0,0,81766810.0,999172.0,Graduate,Regional
671,Anoop V.,PATHANAMTHITTA,IND,0,12th Pass,"Rs 1,26,819  ~ 1 Lacs+",Rs 0  ~,0,0,126819.0,0.0,12th Pass,Independent
672,Anose Katkoori,KARIMNAGAR,IND,0,10th Pass,,,0,0,,,10th Pass,Independent
673,Anshay Kalra,KHERI,BSP,2,10th Pass,"Rs 8,32,38,839  ~ 8 Crore+","Rs 30,00,000  ~ 30 Lacs+",2,1,83238839.0,3000000.0,10th Pass,National
674,Anshu Kumar,UJIARPUR,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),2,Graduate,"Rs 8,80,000  ~ 8 Lacs+",Rs 0  ~,2,1,880000.0,0.0,Graduate,Regional
675,Anshul Avijit,PATNA SAHIB,INC,0,Doctorate,,,0,0,,,Post Graduate,National
676,Anshuman Mohanty,KENDRAPARA,BJD,0,Graduate Professional,"Rs 5,12,96,234  ~ 5 Crore+","Rs 50,00,000  ~ 50 Lacs+",0,0,51296234.0,5000000.0,Graduate,Regional
677,Anson Thomas,MUMBAI NORTH - CENTRAL,Peoples Party of India(secular),0,Post Graduate,"Rs 4,24,43,412  ~ 4 Crore+","Rs 91,394  ~ 91 Thou+",0,0,42443412.0,91394.0,Post Graduate,Regional
678,Ansul Gupta,GHAZIABAD,Rashtriya Jan Karmath Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
679,Anta Alok Baskey,MAYURBHANJ (ST),AJSU Party,0,Graduate,"Rs 28,76,000  ~ 28 Lacs+","Rs 19,00,000  ~ 19 Lacs+",0,0,2876000.0,1900000.0,Graduate,Regional
680,Anta Hansda,BALURGHAT,BSP,0,Graduate Professional,"Rs 31,01,603  ~ 31 Lacs+","Rs 13,10,000  ~ 13 Lacs+",0,0,3101603.0,1310000.0,Graduate,National
681,Anthoni Suresh,KHAMMAM,Bahujana Left Party,0,10th Pass,,,0,0,,,10th Pass,Regional
682,Anthosh Savvase,BAGALKOT,Uttama Prajaakeeya Party,0,Graduate,"Rs 7,23,147  ~ 7 Lacs+",Rs 0  ~,0,0,723147.0,0.0,Graduate,Regional
683,Anto Antony,PATHANAMTHITTA,INC,5,Graduate,"Rs 1,24,71,856  ~ 1 Crore+","Rs 1,56,73,065  ~ 1 Crore+",5,1,12471856.0,15673065.0,Graduate,National
684,Antony Michael J,KANNIYAKUMARI,IND,0,Graduate,,,0,0,,,Graduate,Independent
685,Anuj Swaroop Shukla,ALLAHABAD,IND,0,Graduate Professional,"Rs 9,74,500  ~ 9 Lacs+",Rs 0  ~,0,0,974500.0,0.0,Graduate,Independent
686,Anuj Varshney,SAMBHAL,IND,0,Graduate Professional,"Rs 10,94,259  ~ 10 Lacs+","Rs 2,60,000  ~ 2 Lacs+",0,0,1094259.0,260000.0,Graduate,Independent
687,Anujit Kumar Nan,KOLKATA UTTAR,IND,0,Graduate,,,0,0,,,Graduate,Independent
688,Anup Kumar,GODDA,"Proutist Bloc, India",0,Post Graduate,"Rs 19,13,136  ~ 19 Lacs+","Rs 53,000  ~ 53 Thou+",0,0,1913136.0,53000.0,Post Graduate,Regional
689,Anup Sanjay Dhotre,AKOLA,BJP,1,Graduate,"Rs 10,92,59,962  ~ 10 Crore+","Rs 3,72,01,641  ~ 3 Crore+",1,1,109259962.0,37201641.0,Graduate,National
690,Anupam Baruah,NAGAON,Jai Prakash Janata Dal,0,Graduate,,,0,0,,,Graduate,Regional
691,Anupam Kumar,ETAH,Kisan Kranti Dal,0,Post Graduate,"Rs 2,16,558  ~ 2 Lacs+",Rs 0  ~,0,0,216558.0,0.0,Post Graduate,Regional
692,Anupam Kumar Tripathi,HAMIRPUR,Bhartiya Shakti Chetna Party,0,Graduate,"Rs 44,72,755  ~ 44 Lacs+","Rs 1,00,000  ~ 1 Lacs+",0,0,4472755.0,100000.0,Graduate,Regional
693,Anupama Singh,DHANBAD,INC,0,12th Pass,,,0,0,,,12th Pass,National
694,Anupriya Patel,MIRZAPUR,Apna Dal (Soneylal),2,Post Graduate,"Rs 4,22,41,754  ~ 4 Crore+","Rs 98,05,603  ~ 98 Lacs+",2,1,42241754.0,9805603.0,Post Graduate,Regional
695,Anurag Arot,BHILWARA,IND,0,Post Graduate,"Rs 9,75,000  ~ 9 Lacs+",Rs 0  ~,0,0,975000.0,0.0,Post Graduate,Independent
696,Anurag Sharma,JHANSI,BJP,0,Post Graduate,,,0,0,,,Post Graduate,National
697,Anurag Singh Thakur,HAMIRPUR,BJP,1,Graduate,"Rs 12,26,63,406  ~ 12 Crore+","Rs 1,43,74,994  ~ 1 Crore+",1,1,122663406.0,14374994.0,Graduate,National
698,Anusha Yeruva,MACHILIPATNAM,IND,0,Graduate,"Rs 11,75,000  ~ 11 Lacs+","Rs 1,00,000  ~ 1 Lacs+",0,0,1175000.0,100000.0,Graduate,Independent
699,Anwar,GURGAON,Social Democratic Party Of India,0,12th Pass,,,0,0,,,12th Pass,Regional
700,Anwar Noormamad Sanghar,JAMNAGAR,IND,0,8th Pass,"Rs 22,16,254  ~ 22 Lacs+",Rs 0  ~,0,0,2216254.0,0.0,8th Pass,Independent
701,Anwar Raice,KHAMMAM,Socialist Party (India),0,Post Graduate,"Rs 53,64,000  ~ 53 Lacs+",Rs 0  ~,0,0,5364000.0,0.0,Post Graduate,Regional
702,Anwarul Hoque,RAIGANJ,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
703,Aparajita Sarangi,BHUBANESWAR,BJP,1,Graduate,"Rs 4,62,54,213  ~ 4 Crore+",Rs 0  ~,1,1,46254213.0,0.0,Graduate,National
704,Appala Raju Nammi,ANAKAPALLE,Bharatha Chaitanya Yuvajana Party,3,5th Pass,"Rs 4,78,10,500  ~ 4 Crore+","Rs 86,00,000  ~ 86 Lacs+",3,1,47810500.0,8600000.0,5th Pass,Regional
705,Appalanaidu Kalisetti,VIZIANAGARAM,TDP,0,Graduate Professional,,,0,0,,,Graduate,Regional
706,Appalanaidu Tummagunta,ANAKAPALLE,IND,0,Graduate,"Rs 38,10,350  ~ 38 Lacs+","Rs 25,22,737  ~ 25 Lacs+",0,0,3810350.0,2522737.0,Graduate,Independent
707,Appalanarasa Pachipenta,ARAKU (ST),CPI(M),4,Post Graduate,"Rs 29,25,792  ~ 29 Lacs+","Rs 2,43,125  ~ 2 Lacs+",4,1,2925792.0,243125.0,Post Graduate,National
708,Apparao Enneti,MACHILIPATNAM,IND,0,Graduate,,,0,0,,,Graduate,Independent
709,Apparao Konda,MALKAJGIRI,Rashtra Samanya Praja Party,0,12th Pass,"Rs 70,35,935  ~ 70 Lacs+","Rs 33,00,000  ~ 33 Lacs+",0,0,7035935.0,3300000.0,12th Pass,Regional
710,Appasaheb Omkar Kadam,PARBHANI,IND,1,Others,"Rs 2,72,70,000  ~ 2 Crore+","Rs 53,00,000  ~ 53 Lacs+",1,1,27270000.0,5300000.0,Other,Independent
711,Appasaheb Shripati Kurane,CHIKKODI,Sarva Janata Party,0,12th Pass,,,0,0,,,12th Pass,Regional
712,Ar Nena Prem Ready Ripeeka,WARANGAL (SC),Mana Telangana Rashtra Samaikya Party,0,Graduate,"Rs 2,93,00,000  ~ 2 Crore+","Rs 95,00,000  ~ 95 Lacs+",0,0,29300000.0,9500000.0,Graduate,Regional
713,Aradadi Posiyya,PUDUCHERRY,IND,3,Others,"Rs 5,56,000  ~ 5 Lacs+","Rs 3,51,920  ~ 3 Lacs+",3,1,556000.0,351920.0,Other,Independent
714,Aram Singh,AGRA (SC),Peoples Party of India (Democratic),0,5th Pass,,,0,0,,,5th Pass,Regional
715,Aramukhan,KOZHIKODE,BSP,0,Graduate,"Rs 2,04,99,000  ~ 2 Crore+",Rs 0  ~,0,0,20499000.0,0.0,Graduate,National
716,Arasan. K,VILUPPURAM (SC),IND,0,Illiterate,"Rs 1,74,366  ~ 1 Lacs+",Rs 0  ~,0,0,174366.0,0.0,Illiterate,Independent
717,Aravind Gowda,UTTARA KANNADA,IND,0,Graduate,,,0,0,,,Graduate,Independent
718,Aravindakshan Nair M. K.,KOZHIKODE,Bharatheeya Jawan Kisan Party,0,Graduate,"Rs 27,86,931  ~ 27 Lacs+",Rs 0  ~,0,0,2786931.0,0.0,Graduate,Regional
719,Archana Dinkar Gaikwad,THANE,IND,0,10th Pass,"Rs 2,32,000  ~ 2 Lacs+",Rs 0  ~,0,0,232000.0,0.0,10th Pass,Independent
720,Archana Kumari,JAMUI (SC),RJD,1,Post Graduate,,,1,1,,,Post Graduate,Regional
721,Archana Ranajagjitsinh Patil,OSMANABAD,NCP,0,Graduate Professional,"Rs 45,76,39,499  ~ 45 Crore+","Rs 6,45,16,577  ~ 6 Crore+",0,0,457639499.0,64516577.0,Graduate,Regional
722,Archana Singh Rathore,GWALIOR,Rashtriya Samaj Paksha,0,Graduate,"Rs 27,72,853  ~ 27 Lacs+",Rs 0  ~,0,0,2772853.0,0.0,Graduate,Regional
723,Archana Urang,TRIPURA EAST (ST),IND,0,8th Pass,,,0,0,,,8th Pass,Independent
724,Archunan M A T,CHIDAMBARAM (SC),IND,0,Post Graduate,"Rs 33,82,000  ~ 33 Lacs+",Rs 0  ~,0,0,3382000.0,0.0,Post Graduate,Independent
725,Are Rajendhar,NIZAMABAD,IND,0,Graduate,"Rs 1,28,23,000  ~ 1 Crore+","Rs 10,00,000  ~ 10 Lacs+",0,0,12823000.0,1000000.0,Graduate,Independent
726,Arit Karak,ULUBERIA,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
727,Arjun (Dada) Salgar,OSMANABAD,IND,6,10th Pass,"Rs 4,82,000  ~ 4 Lacs+","Rs 19,00,000  ~ 19 Lacs+",6,1,482000.0,1900000.0,10th Pass,Independent
728,Arjun Ashok Bhalavi,BETUL (ST),BSP,0,10th Pass,"Rs 51,05,800  ~ 51 Lacs+",Rs 0  ~,0,0,5105800.0,0.0,10th Pass,National
729,Arjun Dnyanoba Bhise,PARBHANI,IND,0,12th Pass,,,0,0,,,12th Pass,Independent
730,Arjun Indwar,ALIPURDUARS (ST),IND,0,Graduate,"Rs 74,02,202  ~ 74 Lacs+",Rs 0  ~,0,0,7402202.0,0.0,Graduate,Independent
731,Arjun Kumar,CHATRA,CPI,1,10th Pass,"Rs 50,27,000  ~ 50 Lacs+","Rs 90,000  ~ 90 Thou+",1,1,5027000.0,90000.0,10th Pass,National
732,Arjun Kumar Maity,KANTHI,IND,2,12th Pass,,,2,1,,,12th Pass,Independent
733,Arjun Munda,KHUNTI (ST),BJP,1,Graduate Professional,"Rs 16,56,55,057  ~ 16 Crore+","Rs 2,42,92,905  ~ 2 Crore+",1,1,165655057.0,24292905.0,Graduate,National
734,Arjun Prajapati,CHATRA,IND,0,8th Pass,"Rs 68,85,000  ~ 68 Lacs+",Rs 0  ~,0,0,6885000.0,0.0,8th Pass,Independent
735,Arjun Prasad,ALMORA (SC),IND,0,8th Pass,,,0,0,,,8th Pass,Independent
736,Arjun Ram Meghwal,BIKANER (SC),BJP,0,Post Graduate,"Rs 3,76,54,863  ~ 3 Crore+",Rs 0  ~,0,0,37654863.0,0.0,Post Graduate,National
737,Arjun Ray,SITAMARHI,RJD,0,Doctorate,"Rs 2,67,91,976  ~ 2 Crore+","Rs 15,00,000  ~ 15 Lacs+",0,0,26791976.0,1500000.0,Post Graduate,Regional
738,Arjun Singh,BARRACKPUR,BJP,93,12th Pass,,,93,1,,,12th Pass,National
739,Arjun Singh,GARHWAL,Akhil Bhartiya Parivar Party,0,Post Graduate,"Rs 2,72,73,084  ~ 2 Crore+",Rs 0  ~,0,0,27273084.0,0.0,Post Graduate,Regional
740,Arjun Toppo,LOHARDAGA (ST),IND,0,12th Pass,"Rs 49,52,000  ~ 49 Lacs+","Rs 5,50,000  ~ 5 Lacs+",0,0,4952000.0,550000.0,12th Pass,Independent
741,Arjuna Charan Behera,JAGATSINGHPUR (SC),IND,0,Graduate,,,0,0,,,Graduate,Independent
742,Arjunan,ALAPPUZHA,SUCI(C),0,Others,"Rs 36,46,958  ~ 36 Lacs+","Rs 1,60,000  ~ 1 Lacs+",0,0,3646958.0,160000.0,Other,Regional
743,Arnab Roy,TRIPURA WEST,Republican Party of India (A),0,Graduate,"Rs 23,00,000  ~ 23 Lacs+",Rs 0  ~,0,0,2300000.0,0.0,Graduate,Regional
744,Aroon Barooa,DARRANG-UDALGURI,Bharatheeya Jawan Kisan Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
745,Aroori Ramesh,WARANGAL (SC),BJP,6,Post Graduate,"Rs 28,74,54,041  ~ 28 Crore+","Rs 46,03,631  ~ 46 Lacs+",6,1,287454041.0,4603631.0,Post Graduate,National
746,Arora Surinder Mohan,MUMBAI NORTH - WEST,Bharat Jan Aadhar Party,0,Graduate,"Rs 40,46,89,205  ~ 40 Crore+",Rs 0  ~,0,0,404689205.0,0.0,Graduate,Regional
747,Arpan Deo Bhagat,LOHARDAGA (ST),IND,0,Post Graduate,,,0,0,,,Post Graduate,Independent
748,Arpana Hans,KHUNTI (ST),Jharkhand Party,0,Graduate,"Rs 1,85,64,299  ~ 1 Crore+","Rs 49,79,601  ~ 49 Lacs+",0,0,18564299.0,4979601.0,Graduate,Regional
749,Arshad Ayub,RANCHI,IND,0,5th Pass,"Rs 38,25,000  ~ 38 Lacs+",Rs 0  ~,0,0,3825000.0,0.0,5th Pass,Independent
750,Arshad Warsi,RAMPUR,Minorities Democratic Party,6,Literate,,,6,1,,,Below 5th,Regional
751,Arsheed Ahmed Lone,ANANTNAG-RAJOURI,Jammu & Kashmir National Panthers Party (Bhim),0,12th Pass,Nil,Rs 0  ~,0,0,,0.0,12th Pass,Regional
752,Arti Kumari,SARAN,IND,0,Graduate,"Rs 28,56,606  ~ 28 Lacs+","Rs 10,46,152  ~ 10 Lacs+",0,0,2856606.0,1046152.0,Graduate,Independent
753,Arttatrana Malik,JAJPUR (SC),IND,1,12th Pass,,,1,1,,,12th Pass,Independent
754,Arul Iniyan A,KALLAKURICHI,IND,0,Post Graduate,"Rs 13,00,950  ~ 13 Lacs+","Rs 66,600  ~ 66 Thou+",0,0,1300950.0,66600.0,Post Graduate,Independent
755,Arulmani M,NAMAKKAL,IND,0,Others,"Rs 28,000  ~ 28 Thou+",Rs 0  ~,0,0,28000.0,0.0,Other,Independent
756,Arumuga Ac Kannan,ERODE,IND,0,5th Pass,,,0,0,,,5th Pass,Independent
757,Arumugam M,KRISHNAGIRI,Bharatiya Praja Aikyata Party,0,10th Pass,"Rs 12,51,000  ~ 12 Lacs+",Rs 0  ~,0,0,1251000.0,0.0,10th Pass,Regional
758,Arumugam R,DINDIGUL,IND,0,10th Pass,"Rs 34,45,000  ~ 34 Lacs+",Rs 0  ~,0,0,3445000.0,0.0,10th Pass,Independent
759,Arumugam. M,VILUPPURAM (SC),United Republican Party of India,0,8th Pass,,,0,0,,,8th Pass,Regional
760,Arumugam. M.,DHARMAPURI,IND,0,5th Pass,"Rs 38,14,307  ~ 38 Lacs+",Rs 0  ~,0,0,3814307.0,0.0,5th Pass,Independent
