Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Criminal_Cases_Count,Has_Criminal_Cases,Assets_Numeric,Liabilities_Numeric,Education_Clean,Party_Type
579,Anil Bhagavan Shedage,MADHA,IND,0,Graduate,,,0,0,,,Graduate,Independent
580,Anil Chopra,JAIPUR RURAL,INC,8,Post Graduate,"Rs 4,26,91,840  ~ 4 Crore+","Rs 15,83,925  ~ 15 Lacs+",8,1,42691840.0,1583925.0,Post Graduate,National
581,Anil Das,PATALIPUTRA,Bhartiya Dalit Party,0,Literate,"Rs 59,15,000  ~ 59 Lacs+",Rs 0  ~,0,0,5915000.0,0.0,Below 5th,Regional
582,Anil Devrao Mohite,HINGOLI,Akhil Bhartiya Parivar Party,0,Post Graduate,,,0,0,,,Post Graduate,Regional
583,Anil Firojiya,UJJAIN (SC),BJP,0,12th Pass,"Rs 8,81,59,766  ~ 8 Crore+","Rs 3,03,46,543  ~ 3 Crore+",0,0,88159766.0,30346543.0,12th Pass,National
584,Anil Gawaliram Barde,DINDORI (ST),IND,0,5th Pass,"Rs 2,30,469  ~ 2 Lacs+","Rs 2,00,000  ~ 2 Lacs+",0,0,230469.0,200000.0,5th Pass,Independent
585,Anil Goud,MEDAK,Bharat Jodo Party,0,Graduate,,,0,0,,,Graduate,Regional
586,Anil Jain,RAJGARH,IND,0,Post Graduate,"Rs 20,45,045  ~ 20 Lacs+","Rs 1,77,854  ~ 1 Lacs+",0,0,2045045.0,177854.0,Post Graduate,Independent
587,Anil Jayram Rathod,YAVATMAL - WASHIM,Samnak Janta Party,0,Doctorate,"Rs 72,84,000  ~ 72 Lacs+","Rs 30,12,000  ~ 30 Lacs+",0,0,7284000.0,3012000.0,Post Graduate,Regional
588,Anil Joshi,AMRITSAR,SAD,2,12th Pass,,,2,1,,,12th Pass,Regional
589,Anil K. Ghushe,WARDHA,IND,0,12th Pass,"Rs 3,30,50,000  ~ 3 Crore+",Rs 0  ~,0,0,33050000.0,0.0,12th Pass,Independent
590,Anil K.Antony,PATHANAMTHITTA,BJP,1,Post Graduate,"Rs 1,00,14,578  ~ 1 Crore+",Rs 0  ~,1,1,10014578.0,0.0,Post Graduate,National
591,Anil Kumar,BUXAR,BSP,6,Graduate,,,6,1,,,Graduate,National
592,Anil Kumar,MIRZAPUR,Eklavya Samaj Party,0,Others,"Rs 1,20,13,508  ~ 1 Crore+","Rs 5,78,000  ~ 5 Lacs+",0,0,12013508.0,578000.0,Other,Regional
593,Anil Kumar Boda,MAHABUBABAD (ST),IND,0,Post Graduate,"Rs 77,70,000  ~ 77 Lacs+","Rs 32,23,000  ~ 32 Lacs+",0,0,7770000.0,3223000.0,Post Graduate,Independent
594,Anil Kumar Chand,PATALIPUTRA,SUCI(C),0,Graduate,,,0,0,,,Graduate,Regional
595,Anil Kumar Gadepaka,BHONGIR,IND,1,Others,"Rs 21,200  ~ 21 Thou+",Rs 0  ~,1,1,21200.0,0.0,Other,Independent
596,Anil Kumar Gadepaka,WARANGAL (SC),IND,1,Post Graduate,"Rs 21,200  ~ 21 Thou+",Rs 0  ~,1,1,21200.0,0.0,Post Graduate,Independent
